wins,losses,draws,height_cm,weight_kg,reach_in_cm,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
7,3,0,193.04,92.99,190.5,5.57,40,8.86,43,3.8,100,0,5.57
16,7,1,172.72,70.31,177.8,5.56,47,5.6,45,0.2,12,58,5.56
15,3,0,182.88,70.31,187.96,5.56,53,4.72,54,0.7,12,100,5.56
17,3,0,165.1,52.16,160.02,5.55,44,3.56,61,0.86,66,70,5.55
8,3,0,175.26,61.23,177.8,5.55,47,4.85,45,0.0,0,52,5.55
12,5,0,182.88,83.91,195.58,5.55,59,3.7,55,2.28,36,100,5.55
12,4,0,185.42,83.91,187.96,5.54,57,4.55,46,0.96,12,45,5.54
7,3,0,165.1,52.16,182.88,5.53,35,24.47,33,0.0,0,100,5.53
18,11,0,182.88,77.11,182.88,5.53,48,4.74,44,0.14,22,49,5.53
13,1,0,180.34,70.31,185.42,5.53,52,5.2,44,4.55,36,66,5.53
18,9,0,172.72,70.31,172.72,5.52,49,4.15,68,0.0,0,86,5.52
15,5,0,185.42,65.77,193.04,5.51,38,5.81,53,0.0,0,100,5.51
9,2,0,172.72,56.7,170.18,5.51,46,4.41,49,1.24,16,65,5.51
13,15,1,193.04,83.91,182.88,5.5,68,3.33,50,0.0,0,33,5.5
4,1,0,187.96,111.13,182.88,5.5,56,9.98,46,1.53,20,0,5.5
12,2,0,193.04,111.13,205.74,5.49,60,2.19,63,0.58,21,50,5.49
29,8,0,175.26,70.31,182.88,5.49,50,4.3,53,1.36,36,63,5.49
8,3,0,165.1,61.23,170.18,5.48,62,2.75,48,0.85,25,63,5.48
17,9,0,180.34,70.31,185.42,5.47,47,3.24,55,0.0,0,0,5.47
15,7,0,182.88,77.11,193.04,5.46,42,5.6,48,0.7,20,64,5.46
19,7,1,190.5,92.99,193.04,5.46,46,4.02,59,0.4,25,60,5.46
17,9,0,185.42,92.99,187.96,5.46,48,6.77,45,0.0,0,30,5.46
20,8,0,167.64,61.23,165.1,5.45,43,6.14,56,0.47,19,82,5.45
13,4,1,172.72,65.77,185.42,5.45,50,3.37,56,0.0,0,65,5.45
5,1,0,177.8,83.91,182.88,5.45,62,7.64,61,0.0,0,0,5.45
11,2,0,185.42,77.11,182.88,5.45,47,3.88,59,1.53,50,60,5.45
14,6,0,170.18,56.7,177.8,5.44,42,6.05,49,0.38,11,86,5.44
16,13,0,160.02,52.16,162.56,5.44,50,4.94,61,0.73,34,75,5.44
17,5,0,165.1,61.23,170.18,5.43,55,4.17,48,1.38,47,68,5.43
10,4,0,195.58,115.67,182.88,5.42,72,0.68,33,10.17,66,0,5.42
10,1,1,187.96,65.77,198.12,5.41,46,4.0,57,0.71,80,83,5.41
