name,nickname,wins,losses,draws,height_cm,weight_kg,reach_in_cm,stance,date_of_birth,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
Dustin Poirier,The Diamond,29,8,0,175.26,70.31,182.88,Southpaw,19/01/1989,5.49,50,4.3,53,1.36,36,63,5.49
Kleydson Rodrigues,KR,8,3,0,165.1,61.23,170.18,Orthodox,22/10/1995,5.48,62,2.75,48,0.85,25,63,5.48
WonBin Ki,The Danger,17,9,0,180.34,70.31,185.42,Orthodox,11/02/1991,5.47,47,3.24,55,0,0,0,5.47
Niko Price,The Hybrid,15,7,0,182.88,77.11,193.04,Orthodox,29/09/1989,5.46,42,5.6,48,0.7,20,64,5.46
Dustin Jacoby,The Hanyak,19,7,1,190.5,92.99,193.04,Orthodox,04/04/1988,5.46,46,4.02,59,0.4,25,60,5.46
Sean O'Connell,The Real OC,17,9,0,185.42,92.99,187.96,Orthodox,02/09/1983,5.46,48,6.77,45,0,0,30,5.46
Pedro Munhoz,The Young Punisher,20,8,0,167.64,61.23,165.1,Orthodox,07/09/1986,5.45,43,6.14,56,0.47,19,82,5.45
Hakeem Dawodu,Mean,13,4,1,172.72,65.77,185.42,Orthodox,02/07/1991,5.45,50,3.37,56,0,0,65,5.45
Blake Watkins,,5,1,0,,83.91,,,,5.45,62,7.64,61,0,0,0,5.45
Pascal Krauss,Panzer,11,2,0,185.42,77.11,,Orthodox,19/04/1987,5.45,47,3.88,59,1.53,50,60,5.45
Vinicius Salvador,,14,6,0,170.18,56.7,177.8,Southpaw,24/07/1996,5.44,42,6.05,49,0.38,11,86,5.44
Angela Hill,Overkill,16,13,0,160.02,52.16,162.56,Orthodox,12/01/1985,5.44,50,4.94,61,0.73,34,75,5.44
Karol Rosa,,17,5,0,165.1,61.23,170.18,Orthodox,30/12/1994,5.43,55,4.17,48,1.38,47,68,5.43
Brandon Cash,Money,10,4,0,195.58,115.67,,Orthodox,,5.42,72,0.68,33,10.17,66,0,5.42
Sean Woodson,The Sniper,10,1,1,187.96,65.77,198.12,Orthodox,07/06/1992,5.41,46,4,57,0.71,80,83,5.41
